age,education,experience,gender,hired
23,1,9,1.0,0
32,3,6,0.0,0
41,3,11,0.0,0
43,1,11,1.0,0
26,3,2,0.0,0
49,2,1,0.0,1
47,1,8,1.0,1
29,1,5,1.0,0
49,3,14,1.0,1
36,3,6,0.0,0
22,3,6,0.0,0
40,2,14,1.0,0
24,3,12,1.0,1
41,3,3,0.0,0
31,3,4,0.0,0
34,2,9,0.0,0
26,3,3,1.0,0
28,1,6,0.0,0
28,1,9,1.0,1
33,2,5,1.0,1
28,3,2,0.0,0
46,1,3,0.0,1
45,2,1,1.0,1
37,1,12,1.0,0
48,2,7,1.0,0
46,1,8,0.0,0
26,3,14,1.0,0
44,3,2,1.0,1
28,3,3,1.0,1
44,1,1,1.0,1
47,1,7,0.0,1
47,1,1,1.0,1
48,2,1,0.0,1
44,3,8,1.0,0
30,3,7,1.0,1
22,1,13,0.0,1
35,3,4,1.0,0
23,1,5,0.0,1
34,2,8,0.0,0
38,2,3,1.0,1
49,1,14,0.0,0
43,3,1,0.0,1
25,3,13,0.0,0
26,1,8,1.0,1
22,2,9,1.0,1
29,2,12,1.0,1
28,2,4,0.0,1
24,1,8,1.0,0
36,3,4,1.0,0
30,2,2,0.0,0
36,1,6,1.0,0
49,3,1,0.0,0
30,2,8,1.0,1
49,3,14,0.0,1
33,3,11,0.0,0
48,2,6,0.0,1
28,2,11,1.0,1
22,1,6,1.0,1
34,2,3,1.0,1
41,2,9,0.0,0
42,3,7,0.0,0
46,2,14,0.0,1
22,2,4,1.0,0
40,3,4,0.0,1
34,1,2,0.0,0
34,2,11,0.0,0
44,3,14,0.0,1
24,1,9,1.0,1
25,1,13,0.0,0
46,3,8,0.0,1
31,1,4,1.0,1
33,3,10,1.0,1
24,2,3,1.0,1
32,2,3,0.0,0
27,3,3,0.0,0
44,1,6,0.0,0
33,3,12,0.0,0
35,1,4,1.0,1
48,2,1,1.0,0
36,2,3,1.0,1
