age,income,credit_score,race,approved
31,53960,614,0.0,0
47,39435,664,1.0,1
47,51677,666,1.0,1
34,49065,685,1.0,1
59,60355,596,0.0,0
50,80343,671,1.0,1
60,60354,608,0.0,1
56,74482,595,1.0,1
54,85771,702,0.0,0
31,84693,727,1.0,1
47,45485,690,1.0,0
47,49087,698,0.0,0
49,106539,766,0.0,0
59,49870,794,1.0,1
40,52700,560,0.0,1
40,101726,726,0.0,1
45,113285,741,1.0,1
33,40975,758,0.0,1
52,63591,695,0.0,0
46,72344,579,0.0,0
36,91642,612,0.0,1
32,69081,641,1.0,1
49,55470,605,0.0,0
56,55289,789,1.0,0
34,70262,795,1.0,1
43,91629,797,0.0,0
59,31542,705,1.0,1
61,67080,740,1.0,1
60,72348,590,1.0,1
49,33709,746,0.0,1
53,43807,650,1.0,1
48,65909,750,1.0,0
63,82528,710,0.0,1
37,72918,791,0.0,0
35,58295,769,1.0,0
38,68413,647,0.0,0
43,66395,726,0.0,1
36,34748,683,1.0,1
29,64620,634,0.0,0
53,92856,713,1.0,1
37,112873,749,1.0,1
50,113460,735,1.0,0
49,56432,777,1.0,0
59,98866,678,0.0,0
58,118092,609,1.0,1
53,71430,789,0.0,1
29,82736,648,0.0,1
43,82224,658,0.0,0
60,64578,761,1.0,0
36,108859,769,0.0,1
41,87799,743,0.0,0
55,82638,654,0.0,1
50,118858,639,1.0,1
60,69298,554,0.0,1
42,37114,555,0.0,0
38,112848,773,0.0,0
33,58016,667,0.0,1
47,43843,576,0.0,0
55,97641,788,0.0,0
33,31324,694,1.0,0
37,116769,631,1.0,1
41,76732,557,1.0,1
42,102124,754,1.0,1
59,119339,710,1.0,1
48,85129,706,1.0,0
63,56790,769,1.0,1
45,51732,635,0.0,0
59,50559,575,0.0,0
55,107052,753,1.0,1
44,43116,559,0.0,0
36,110219,668,0.0,0
53,53625,565,1.0,1
28,56962,577,1.0,0
61,116188,584,1.0,1
35,54504,604,0.0,1
60,87854,704,1.0,1
36,96040,582,0.0,1
36,102592,651,1.0,1
26,74261,701,1.0,0
63,47640,754,0.0,1
