age,education,experience,gender,hired
34,2,8,1,1
28,1,3,0,0
45,3,15,1,1
32,2,6,0,0
29,1,2,1,1
38,3,12,0,1
41,2,10,1,1
26,1,1,0,0
35,3,9,1,1
30,2,5,0,0
27,1,2,1,0
42,3,14,0,1
33,2,7,1,1
25,1,1,0,0
48,3,20,1,1
31,2,4,0,0
36,3,11,1,1
29,1,3,0,0
44,2,16,1,1
28,3,5,0,1
37,2,9,1,1
26,1,1,0,0
43,3,13,1,1
30,2,6,0,0
39,1,8,1,1
27,3,3,0,0
46,2,18,1,1
32,1,5,0,0
35,3,10,1,1
29,2,4,0,1
41,1,12,1,1
28,3,4,0,0
34,2,8,1,1
26,1,2,0,0
47,3,19,1,1
31,2,5,0,0
38,1,9,1,1
27,3,3,0,1
45,2,15,1,1
30,1,4,0,0
36,3,11,1,1
28,2,3,0,0
42,1,13,1,1
29,3,5,0,0
40,2,10,1,1
27,1,2,0,0
44,3,16,1,1
31,2,6,0,1
37,1,8,1,1
26,3,2,0,0
43,2,14,1,1
29,1,3,0,0
46,3,18,1,1
32,2,7,0,0
39,1,10,1,1
28,3,4,0,0
35,2,9,1,1
27,1,1,0,0
41,3,12,1,1
30,2,5,0,0
38,1,8,1,1
26,3,2,0,1
44,2,15,1,1
31,1,4,0,0
37,3,10,1,1
29,2,3,0,0
43,1,13,1,1
28,3,5,0,0
40,2,11,1,1
27,1,2,0,0
45,3,17,1,1
32,2,6,0,0
36,1,9,1,1
29,3,4,0,1
42,2,13,1,1
28,1,3,0,0
39,3,11,1,1
27,2,2,0,0
46,1,18,1,1
31,3,5,0,0
35,2,8,1,1
26,1,1,0,0
41,3,12,1,1
30,2,5,0,0
