age,education,experience,gender,race,hired
23,3,7,1,1,1
27,4,1,0,1,1
23,2,20,0,0,1
22,2,13,1,1,1
28,1,12,1,1,1
24,4,17,1,1,1
40,3,18,0,1,1
40,1,7,1,1,1
32,3,11,1,1,1
32,2,5,1,0,0
36,3,1,0,1,0
39,1,6,0,0,1
47,4,4,0,1,0
38,4,18,0,0,0
54,4,2,1,1,1
49,1,12,1,0,1
22,1,17,1,1,1
49,2,14,1,1,1
54,2,16,1,1,1
34,2,11,0,1,0
22,3,15,0,1,1
37,1,7,1,0,1
26,2,4,0,0,1
49,2,17,0,1,1
50,4,3,1,1,1
36,2,0,0,1,1
24,3,2,1,0,1
30,4,7,1,0,1
49,3,13,1,0,1
25,4,10,1,1,1
30,4,5,0,1,0
50,1,1,1,0,0
32,4,15,1,0,1
32,4,0,1,0,0
40,4,17,0,0,1
25,3,1,1,1,1
32,1,16,0,1,1
37,4,3,1,0,1
27,4,18,0,0,0
42,2,8,1,0,1
42,1,0,0,0,0
26,2,16,1,1,1
37,3,9,1,1,1
55,1,17,1,1,1
38,1,3,1,0,1
43,2,20,1,1,1
27,4,8,1,1,1
32,4,17,1,0,1
24,3,18,1,0,1
45,1,11,1,1,1
48,2,7,1,1,1
23,2,10,0,0,0
39,2,3,1,0,0
34,4,11,1,1,1
23,2,12,1,1,1
44,4,17,1,1,1
33,3,1,1,1,1
49,1,12,1,0,1
22,2,11,0,0,0
42,1,9,1,0,1
40,2,6,0,0,1
41,4,17,1,1,1
42,4,14,0,0,1
27,3,16,1,0,1
41,2,6,1,1,1
26,4,13,0,0,0
47,2,4,0,1,0
49,2,5,1,0,1
51,2,14,1,0,1
54,4,17,0,0,1
50,3,7,0,1,1
39,4,2,1,1,1
27,2,4,0,1,1
26,4,13,1,1,1
48,4,18,1,1,1
52,1,11,0,1,0
36,4,7,0,1,1
47,2,14,1,1,1
23,1,20,0,0,0
38,4,10,1,1,1
39,4,8,0,1,1
44,2,20,1,1,1
37,2,0,1,0,1
35,4,8,1,1,1
32,3,3,1,0,1
47,2,2,0,0,0
41,1,18,1,1,1
26,3,0,1,0,1
51,2,13,1,1,0
52,4,13,1,0,1
39,4,7,1,0,1
23,4,10,1,1,1
43,3,19,1,1,1
27,2,13,1,0,1
53,4,0,0,1,1
41,3,15,1,0,1
43,3,14,0,1,1
42,1,17,1,1,1
55,3,3,1,1,1
22,2,8,1,1,1
53,1,0,1,0,0
33,1,8,1,0,1
26,1,4,0,1,0
